neg	@jamielewislewis i cant believe it, it really doesnt belong there! i hope it doesnt ruin it  im not too bad thanks!hows life treatin you?x
pos	having a vodka tonic and looking forward to going to Saddle Ranch at the Westgate with the husband, sans kiddos 
pos	@ddlovatofans1neg1 Could you follow me please.I would really appreciate it. 
pos	@jordanknight for once.................. PLEASE TELL US WHY u were thinking of this person?!? 
neg	Had a dream about a walk in fast food resturaunt that sold ice cream and guitar strings.They were sold out of 12gauge 
pos	@TroyBrownBBNews Yes... For a &quot;friend&quot; 
pos	Packing for work expierance 
neg	hates @internet @explrer (angry)(angry) **but no choice**  http://plurk.com/p/rqqi5
neg	@federalcase  I said I go out for eat 5:negneg p.m.  I disappointed you.
neg	@babykates7 yeah they won't do the surgery till the cold is gone...poor thing still has runny eyes 
pos	@BritRuxpin. I say answering with no pants. 
neg	Am in the place called negUT OF NOW WHERE!! Take me out from here, somebody  http://myloc.me/1XRI
neg	3am, still up.. flying to LA ltr 8am..hayyy sleep deprived again 
neg	2 down, 8 to go...looks like i wont be getting out early 
neg	It's Increible How Someone Forgot U Soo Fast! 
neg	That little girl holly!  find some time! Aw, she'll get loads of votes now I bet!
neg	Aapko huyi asuvidha ke liye hume khed hay Train 3neg minutes late 
neg	@brightondoll ugh, me too. 3:pos5 and going strong! I just spent like, 3 hours playing rollercoaster tycoon but now I'm bored again. 
neg	Will be back when I think everyone is up 
pos	&quot;so we keep waitin, waitin , waitin on the world to change&quot; - john mayer 
neg	@carposdave sinus infection.    the whole left side of my face hurts.
neg	@twilighterNY I've seen the pics but only on my phone. I wanna be on my COMPUTER. im in rehab 
neg	@Streyeder I wish I had time or extracurricular workout, but I've barely been to d gym pos times in last 1neg days 
pos	@ms_cornwall night you, may your dreams be wonderful 
pos	Star Wars: Old Republic: http://digg.com/d1sgupos and it maybe coming to the PS3 and eggbox: http://digg.com/u1poscY2 
pos	You could be my punk rock princess 
neg	@YukiB Iknow, I am just jealous and hate to be cold in June 
pos	19 more sleeps untill Take That ahhhhhhhhhhhhhhh 
pos	aaaw! my moms crying. She loved the mixed tape i gave her 
neg	@Velf79 Missed you last night hon 
pos	Morning y'all. Looking forward to a nice BBQ today. Can everyone follow @RebeccaMasters please? 
pos	Feeling happy! Happy Happy! Think i inspired ppl today thro my sermon. Mashallah, Alhamdulillah! Happiness all around! Bring on the Ajr! 
neg	@carolemoyes @trimmtrab real tea makes me poorly  i drink fruit tea or coffee x
pos	Started faffing around with photography and web design again  http://www.lightsondoorsopen.co.uk
pos	eating!! mmmm delicious! 
pos	okay glowing screens are forcing my eyes to close... my official -&gt; goodnight tweets  yep @ 2:21am
neg	@Jzakoni i will twitter about it. i dont have much friends though  im not ::sigh:: popular 
pos	@paulcargill thanks  xxx
pos	@bluefirebug Love cupcakes too. We also dig Johnny Cupcakes. 
neg	Going to get fertilizer, instead of a movie.   Oh the joys of farm life! Can I get an amen Travis?
pos	Sawdust in my hair, ears, crack... Everywhere! Now for a ride 
neg	i want to apply for a job to write at cracked but i don't think i'm funny enough. weird maybe but not funny 
neg	going to bed soon 
pos	@RaceSpeed I was JUST thinking of you!!! How are YOU my friend? Have you seen my new site yet? 
pos	Thanks Guys for a great bday weekend! You Guys Rock!  @myssmodelstar @CandiceNicolePR @Fashionista25 @TheRealestCiCi @SimplyShaki
neg	@houstondogshow way bummed that I'll be out of town for this years show! 
neg	Broke a personal record of waking up&amp;leaving for work.All under posnegmins.Not sure I could do it on daily basis.Had miss salat though 
pos	@bobbyllew RIsk it... Have been in the middle of a storm for the past 2 hours and have had no probs! 
neg	@CoolGuyGreg I am lost. Please help me find a good home. 
pos	@islandchic  love the soundtrack of that movie.
neg	@makavellirayne nah the lights killed the mood now you got to get out my bed 
neg	So sorry to hear about the passing of Ed McMahon 
pos	...and now giggling at Tre's views on Copeland... Very funny. Great interview yet again from Mr Hopkin 
neg	I am so jealous of everyone who is leaving for Camp today. That should have been me!  Hope you all have fun, I will be praying for you!
neg	@KsanaC about what? I have no time to breath, so... 
pos	Hulu you're my hero today. Needed a distraction today. 
pos	See yeah later. I have to go to a party. Tah tah for now. 
neg	@unbekkant its suppose to say you can go ahead and start if you want  
neg	I have something in my eye! How annoying 
pos	@schaeferj89 I almost bought their new album today.. I should have. 
neg	is still getting the odd cramp from sundays 7neg mile cycle, much swearing involved 
neg	Owh maybe not  shoot has been re arranged to the 3negth. NEXT week will be my first ahhhaaa.
pos	Yesterday I got one year using Blip.fm 
neg	Had a lovely afternoon transplanting lettuce and tending the garden!  Forgot, however, to pick up my raw milk for the week 
neg	@929perthmusic I'd prefer Tamiflu to be honest.  But maybe it's just me 
pos	yes the sun has moved. off to bathe in the sun, i love england when its warm and sunny haha  tooodles x
pos	Aww, 1negneg followers! I feel loved  I love you guys &lt;3 x
pos	Just tweeting before church begins...playing keys today... yay 
pos	@FakerGigi Yes that's the one 
neg	@nawtyuh I know this is lame, but I tried to use the aging cheat, and it wouldnt work for me.  I can't have my sims get old!!
neg	i need mcfly's new cd! i couldn't find it that time  it was sold out.
pos	@WDC it's a song by MC Chris 
pos	Finished the radio ad wit rocio. We did freaken good 
neg	@eddieizzard i'm from los angeles and never heard that one! any chance on you coming back to l.a.?  missed your show   thx ... Sky
neg	needs more followers  tell your freinds ;)
neg	@sweet19 when was the stream party? awww...  too bad i didnt able to join...
neg	its nights like this i wish i had a dude to come home to  and cure the lonely nights...SMH! O well! im over it! lol
neg	Morale is low. We are running low on snus and Kolonopin. Forge the river Y/N ... N 
neg	Had a busy day and have sore feet. 
pos	@Candyflip78 Walaw man, anytime. 
neg	the fergie room has now been renamed to the gaga room. 
neg	just decided as a spy I seriously suck 
pos	Show over; after-dinner over; make-up, false eye lashes, &amp; contacts removed. Whew.  Fabulous day.
neg	@CatBud It is now raining 
neg	Looks like rain. 
pos	@ben_stiller Hi from Spain  magnific zoolander!
neg	@rentan the fever and chills are gone....but this nasty cough is annoying me to no end!! 
neg	@jakfury take pearla for a walk  she'll be sad if you don't.
neg	exhausted 
